Wall time,Step,Value
1521753086.589228,21500,0.3800114393234253
1521753093.0954564,21520,0.43860721588134766
1521753099.5946572,21540,0.40448081493377686
1521753112.6040635,21580,0.3618175685405731
1521753125.6084473,21620,0.3770149350166321
1521753138.6158738,21660,0.41468703746795654
1521753145.1170545,21680,0.3851472735404968
1521753151.6202579,21700,0.37304723262786865
1521753158.1204727,21720,0.40438491106033325
1521753164.641696,21740,0.413811594247818
1521753190.6565132,21820,0.4071063697338104
1521753203.6539183,21860,0.40078985691070557
1521753210.1550984,21880,0.39514437317848206
1521753249.161307,22000,0.3817238509654999
1521753267.1699996,22040,0.37320831418037415
1521753280.149349,22080,0.4072142541408539
1521753286.678609,22100,0.42531147599220276
1521753293.1808097,22120,0.30342990159988403
1521753332.187,22240,0.3773149847984314
1521753351.6855855,22300,0.4176582098007202
1521753364.6919982,22340,0.4406197965145111
1521753384.2036054,22400,0.3684171736240387
1521753403.7112105,22460,0.4044141173362732
1521753410.2374637,22480,0.40609678626060486
1521753423.2418659,22520,0.32907384634017944
1521753429.7430646,22540,0.3784267008304596
1521753436.2462676,22560,0.338813453912735
1521753442.7484684,22580,0.35876142978668213
1521753455.7448595,22620,0.35221371054649353
1521753462.2560713,22640,0.3719349205493927
1521753475.259473,22680,0.41320502758026123
1521753481.7596695,22700,0.3580308258533478
1521753488.2668817,22720,0.4193320572376251
1521753507.753441,22780,0.40522506833076477
1521753514.2526355,22800,0.4476572275161743
1521753527.2399998,22840,0.3512308895587921
1521753579.2676291,23000,0.41530054807662964
1521753585.7638173,23020,0.3501875400543213
1521753592.26702,23040,0.4090271294116974
1521753598.7612038,23060,0.34667930006980896
1521753605.2614,23080,0.3924364745616913
1521753618.2597888,23120,0.43104737997055054
1521753624.7599833,23140,0.39973610639572144
1521753631.2561734,23160,0.41413453221321106
1521753650.766785,23220,0.3876377046108246
1521753657.2739966,23240,0.38661351799964905
1521753663.778202,23260,0.38834965229034424
1521753683.2818048,23320,0.5157225131988525
1521753696.2942176,23360,0.4588870406150818
1521753761.2781436,23560,0.40517884492874146
1521753780.8118055,23620,0.38480326533317566
1521753793.80819,23660,0.33434149622917175
1521753800.3143997,23680,0.3356446921825409
1521753813.3199232,23720,0.36826980113983154
1521753819.8200068,23740,0.42309534549713135
1521753826.3232036,23760,0.39762648940086365
1521753839.3276052,23800,0.4198935925960541
1521753858.836217,23860,0.3595466613769531
1521753865.3434248,23880,0.41932761669158936
1521753871.8376079,23900,0.37398669123649597
1521753878.3337955,23920,0.3514947295188904
1521753884.8289814,23940,0.38832223415374756
1521753891.325169,23960,0.3634260296821594
1521753897.8343854,23980,0.33012956380844116
1521753904.3736734,24000,0.3463630974292755
1521753922.37968,24040,0.3865373432636261
1521753935.3830795,24080,0.4125013053417206
1521753941.8782623,24100,0.39223620295524597
1521753954.8806622,24140,0.4181501567363739
1521753967.8790495,24180,0.42338383197784424
1521753980.8814473,24220,0.3763495087623596
1521753987.38365,24240,0.4143660366535187
1521753993.8898754,24260,0.42649751901626587
1521754000.3930626,24280,0.3875018358230591
1521754006.8902524,24300,0.4091084599494934
1521754013.3954763,24320,0.3728542625904083
1521754039.4273138,24400,0.4174824357032776
1521754071.940339,24500,0.4049779176712036
1521754078.4435267,24520,0.4343273937702179
1521754091.462961,24560,0.4129142761230469
1521754097.9681685,24580,0.39407506585121155
1521754104.4713714,24600,0.4041597545146942
1521754123.9769707,24660,0.3713001012802124
1521754130.4691489,24680,0.41193854808807373
1521754136.9663572,24700,0.3815401792526245
1521754149.9917884,24740,0.4136468768119812
1521754169.472351,24800,0.42404285073280334
1521754188.9879575,24860,0.4206905663013458
1521754201.9994683,24900,0.37667524814605713
1521754215.005797,24940,0.36580371856689453
1521754221.507982,24960,0.3754313290119171
1521754234.5073888,25000,0.3955506682395935
1521754241.0035605,25020,0.40391746163368225
1521754260.5211878,25080,0.3831489682197571
1521754267.0183935,25100,0.35807859897613525
1521754273.5406215,25120,0.38577431440353394
1521754286.5400355,25160,0.4464584290981293
1521754293.053254,25180,0.456049382686615
1521754299.5554388,25200,0.38264933228492737
1521754312.5568342,25240,0.4511476457118988
1521754319.0620418,25260,0.4135449528694153
1521754325.5674298,25280,0.42734724283218384
1521754332.0674684,25300,0.395988404750824
1521754338.5686586,25320,0.43035808205604553
1521754345.0698438,25340,0.3805125951766968
1521754358.0772676,25380,0.36146315932273865
1521754377.5838773,25440,0.43394735455513
1521754384.0910807,25460,0.37674784660339355
1521754397.1245313,25500,0.4066450893878937
1521754423.1443594,25580,0.4599123001098633
1521754429.6455574,25600,0.4410974085330963
1521754442.654971,25640,0.4063529968261719
1521754468.6527505,25720,0.4503606855869293
1521754481.6461449,25760,0.408876895904541
1521754494.6495283,25800,0.3901941478252411
1521754507.6559572,25840,0.37696799635887146
1521754514.158158,25860,0.41887542605400085
1521754520.6803958,25880,0.4221406579017639
1521754527.181577,25900,0.4182397723197937
1521754540.1839757,25940,0.4204177260398865
1521754559.7026052,26000,0.4033699631690979
1521754571.3006587,26020,0.43565133213996887
1521754584.2910254,26060,0.4090013802051544
1521754590.7912219,26080,0.35324811935424805
1521754597.2964294,26100,0.4137912094593048
1521754610.2929368,26140,0.4730095863342285
1521754636.2865849,26220,0.45418450236320496
1521754649.3140364,26260,0.42124393582344055
1521754655.8172398,26280,0.4495920240879059
1521754668.8106177,26320,0.447079062461853
1521754675.3058033,26340,0.3876011371612549
1521754681.8029933,26360,0.4415951073169708
1521754694.8063931,26400,0.39893752336502075
1521754701.3055873,26420,0.430183470249176
1521754727.3163955,26500,0.40295812487602234
1521754733.80657,26520,0.46823957562446594
1521754740.3037603,26540,0.42916935682296753
1521754746.8089676,26560,0.41491183638572693
1521754753.311175,26580,0.420817106962204
1521754766.3386204,26620,0.41241884231567383
1521754779.3350046,26660,0.4932413101196289
1521754785.8472276,26680,0.44569432735443115
1521754792.3494115,26700,0.4072982370853424
1521754798.8537116,26720,0.4438627362251282
1521754805.354818,26740,0.41145849227905273
1521754811.8560317,26760,0.40964043140411377
1521754831.3445952,26820,0.4744698107242584
